"Name","Age","Class/Dept","Ticket","Joined","Job","Boat [Body]"
"ABBOTT, Mrs Rhoda Mary 'Rosa'",39,"3rd Class Passenger","CA2673£20 5s","Southampton","","A"
"ABELSETH, Miss Kalle (Karen) Marie Kristiane",16,"3rd Class Passenger","348125£7 13s","Southampton","","16*"
"ABELSETH, Mr Olaus Jørgensen",25,"3rd Class Passenger","348122£7 13s","Southampton","Farmer","A"
"ABELSON, Mrs Anna",28,"2nd Class Passenger","3381£24","Cherbourg","",""
"ABĪ SA'B, Mrs Sha'nīnah",38,"3rd Class Passenger","2688£7 4s 7d","Cherbourg","",""
"ABĪ-AL-MUNÀ, Mr Nāsīf Qāsim",27,"3rd Class Passenger","2699£18 15s 9d","Cherbourg","",""
"ABRAHAMSSON, Mr August Abraham Johannes",19,"3rd Class Passenger","3101284£7 18s 6d","Southampton","",15
"AKS, Mrs Leah",21,"3rd Class Passenger","392091£9 7s","Southampton","",""
"AKS, Master Philip","10m","3rd Class Passenger","392091£9 7s","Southampton","",""
"AL-BA'QLĪNĪ, Mrs Laṭīfah",23,"3rd Class Passenger","2666£19 5s 2d","Cherbourg","",""
"AL-BA'QLĪNĪ, Miss Mārīyā",5,"3rd Class Passenger","2666£19 5s 2d","Cherbourg","",""
"AL-BA'QLĪNĪ, Miss Ūwjīnīyā",3,"3rd Class Passenger","2666£19 5s 2d","Cherbourg","",""
"AL-BA'QLĪNĪ, Miss Hilānah",2,"3rd Class Passenger","2666£19 5s 2d","Cherbourg","",""
"AL-ZA'INNĪ, Mr Fahīm Rūḥānā",25,"3rd Class Passenger","2620£7 4s 6d","Cherbourg","General Labourer","6*"
"ALLEN, Miss Elisabeth Walton",29,"1st Class Passenger","24160£211 6s 9d","Southampton","",2
"ALLISON, Master Hudson Trevor","11m","1st Class Passenger","113781£151 16s","Southampton","",11
"ANDERSEN (JENSEN), Miss Carla Christine Nielsine",19,"3rd Class Passenger","350046£7 17s 1d","Southampton","",16
"ANDERSON, Mr Harry",42,"1st Class Passenger","19952£26 11s","Southampton","Stockbroker","3*"
"ANDERSSON, Miss Erna Alexandra",16,"3rd Class Passenger","3101281£7 18s 6d","Southampton","",""
"ANDREWS, Miss Cornelia Theodosia",62,"1st Class Passenger","13502£77 19s 2d","Cherbourg","",10
"ANGLE, Mrs Florence Agnes",36,"2nd Class Passenger","226875£26","Southampton","","11*"
"APPLETON, Mrs Charlotte",53,"1st Class Passenger","11769£51 9s 7d","Southampton","",2
"ASPLUND, Master Edvin Rojj Felix",3,"3rd Class Passenger","347077£31 7s 9d","Southampton","","10*"
"ASPLUND, Mr Johan Charles",23,"3rd Class Passenger","350054£7 15s 11d","Southampton","","13*"
"ASPLUND, Mrs Selma Augusta Emilia",38,"3rd Class Passenger","347077£31 7s 9d","Southampton","","10*"
"ASPLUND, Miss Lillian Gertrud",5,"3rd Class Passenger","347077£31 7s 9d","Southampton","","10*"
"ASTOR, Mrs Madeleine Talmage",18,"1st Class Passenger","17757£247 10s 6d","Cherbourg","",4
"AUBART, Mme. Léontine Pauline",24,"1st Class Passenger","17477£69 6s","Cherbourg","Singer",9
"AYYŪB-DĀHIR, Miss Bannūrah",15,"3rd Class Passenger","2687£7 4s 7d","Cherbourg","",""
"BACKSTRÖM, Mrs Maria Mathilda",33,"3rd Class Passenger","3101278£15 17s","Southampton","",""
"BADMAN, Miss Emily Louisa",18,"3rd Class Passenger","31416£8 1s","Southampton","Servant","C*"
"BALLS, Mrs Ada Elizabeth",36,"2nd Class Passenger","28551£13","Southampton","","10*"
"BARBER, Miss Ellen Mary",26,"1st Class PassengerServant","19877£78 17s","Southampton","Personal Maid",6
