height,weight,chest_circ,tshirt_size,color
1560,657,92.2,Small,red
1665,534,83.9,2X-Small,pink
1711,663,87.4,Extra Small,yellow
1660,782,100.8,Medium,blue
1572,886,108.9,Large,lawngreen
1707,837,103.1,Large,lawngreen
1644,732,98.8,Medium,blue
1671,760,96.8,Medium,blue
1521,545,83.1,2X-Small,pink
1590,684,101.0,Medium,blue
1707,990,106.5,Large,lawngreen
1668,742,103.4,Large,lawngreen
1654,781,106.3,Large,lawngreen
1666,718,93.7,Small,red
1599,709,98.9,Medium,blue
1673,672,94.0,Small,red
1647,620,83.5,2X-Small,pink
1678,595,89.7,Extra Small,yellow
1679,741,97.9,Medium,blue
1615,605,85.3,Extra Small,yellow
1517,800,109.0,Large,lawngreen
1674,747,94.1,Small,red
1623,491,85.7,Extra Small,yellow
1668,703,97.3,Medium,blue
1644,715,97.5,Medium,blue
1579,708,102.6,Large,lawngreen
1446,488,83.2,2X-Small,pink
1620,691,92.1,Small,red
1684,730,103.2,Large,lawngreen
1619,610,90.4,Small,red
1592,658,95.1,Medium,blue
1655,709,95.0,Medium,blue
1723,728,96.5,Medium,blue
1677,846,111.5,Large,lawngreen
1654,945,117.0,X-Large,green
1634,627,89.5,Extra Small,yellow
1683,578,94.4,Small,red
1552,524,83.3,2X-Small,pink
1617,732,102.5,Large,lawngreen
1588,791,98.2,Medium,blue
1641,894,106.0,Large,lawngreen
1685,689,99.1,Medium,blue
1656,758,99.4,Medium,blue
1603,731,107.1,Large,lawngreen
1608,748,94.5,Small,red
1664,806,109.4,Large,lawngreen
1619,714,93.2,Small,red
1620,712,101.3,Medium,blue
1720,657,91.0,Small,red
1582,477,79.3,2X-Small,pink
1720,696,95.4,Medium,blue
1720,1196,116.1,X-Large,green
1701,887,113.5,X-Large,green
1627,754,109.5,Large,lawngreen
1536,678,101.4,Medium,blue
1546,607,94.6,Small,red
1654,572,81.4,2X-Small,pink
1605,689,94.0,Small,red
1630,712,98.8,Medium,blue
1612,604,90.4,Small,red
1757,697,87.6,Extra Small,yellow
1670,854,109.0,Large,lawngreen
1632,617,94.3,Small,red
1635,790,113.2,X-Large,green
1682,672,97.7,Medium,blue
1661,695,97.7,Medium,blue
1596,669,100.6,Medium,blue
1596,574,93.6,Small,red
1665,815,106.5,Large,lawngreen
1617,618,89.0,Extra Small,yellow
1555,645,90.0,Small,red
1578,557,86.2,Extra Small,yellow
