height,weight,chest_circ,tshirt_size,color
1776,815,107.4,Large,lawngreen
1702,726,102.1,Large,lawngreen
1735,929,112.0,X-Large,green
1655,794,111.4,Large,lawngreen
1914,946,104.8,Large,lawngreen
1720,802,106.6,Large,lawngreen
1810,1162,120.8,X-Large,green
1850,954,108.7,Large,lawngreen
1777,995,118.1,X-Large,green
1811,702,96.4,Medium,blue
1780,882,111.7,Large,lawngreen
1733,701,96.1,Medium,blue
1814,1037,115.1,X-Large,green
1861,1116,123.1,XX-Large,slategray
1709,896,106.0,Large,lawngreen
1740,924,109.2,Large,lawngreen
1694,779,108.5,Large,lawngreen
1766,969,111.8,Large,lawngreen
1748,760,99.9,Medium,blue
1794,908,112.7,X-Large,green
1780,714,100.0,Medium,blue
1680,746,97.7,Medium,blue
1653,792,107.9,Large,lawngreen
1959,915,101.1,Medium,blue
1755,965,109.8,Large,lawngreen
1630,675,95.7,Medium,blue
1825,1073,115.8,X-Large,green
1795,793,96.4,Medium,blue
1745,782,97.1,Medium,blue
1818,882,105.7,Large,lawngreen
1881,715,95.7,Medium,blue
1760,947,110.8,Large,lawngreen
1675,665,94.7,Small,red
1852,879,104.3,Large,lawngreen
1785,675,96.5,Medium,blue
1791,884,117.4,X-Large,green
1685,695,95.1,Medium,blue
1850,1218,118.2,X-Large,green
1737,719,98.1,Medium,blue
1743,881,108.6,Large,lawngreen
1744,575,86.5,Extra Small,yellow
1679,876,120.5,X-Large,green
1836,850,101.3,Medium,blue
1730,865,115.2,X-Large,green
1762,958,109.6,Large,lawngreen
1669,667,95.7,Medium,blue
1740,706,98.5,Medium,blue
1709,847,106.3,Large,lawngreen
1879,1013,113.7,X-Large,green
1674,856,110.6,Large,lawngreen
1779,1095,116.6,X-Large,green
1844,834,108.1,Large,lawngreen
1637,727,100.6,Medium,blue
1754,986,115.3,X-Large,green
1704,773,103.7,Large,lawngreen
1840,1400,146.9,XXX-Large,black
1783,674,90.1,Small,red
1748,884,107.1,Large,lawngreen
1703,988,126.3,XX-Large,slategray
1852,952,114.6,X-Large,green
1609,566,85.8,Extra Small,yellow
1709,717,104.4,Large,lawngreen
1835,717,90.4,Small,red
1679,802,103.3,Large,lawngreen
1742,988,116.0,X-Large,green
1698,662,97.1,Medium,blue
1671,807,105.0,Large,lawngreen
1850,1053,121.3,X-Large,green
1754,683,94.4,Small,red
1619,749,98.9,Medium,blue
1772,738,97.5,Medium,blue
1705,604,93.9,Small,red
1619,774,109.1,Large,lawngreen
1726,768,98.3,Medium,blue
1840,1022,112.9,X-Large,green
1743,963,120.5,X-Large,green
1674,923,112.3,X-Large,green
1750,988,112.9,X-Large,green
1819,887,104.8,Large,lawngreen
1799,987,106.3,Large,lawngreen
1750,852,109.8,Large,lawngreen
1723,748,97.2,Medium,blue
1809,920,112.7,X-Large,green
1791,744,96.3,Medium,blue
1723,823,109.8,Large,lawngreen
1578,627,95.3,Medium,blue
1718,778,102.4,Large,lawngreen
1799,882,104.3,Large,lawngreen
1740,590,90.2,Small,red
1702,730,100.8,Medium,blue
1737,864,102.7,Large,lawngreen
1730,866,104.4,Large,lawngreen
1785,737,91.7,Small,red
1817,654,91.7,Small,red
1843,696,92.4,Small,red
1791,775,99.4,Medium,blue
1657,727,100.1,Medium,blue
1701,797,106.9,Large,lawngreen
1786,744,99.5,Medium,blue
1755,968,110.4,Large,lawngreen
1791,866,104.5,Large,lawngreen
1759,742,101.5,Medium,blue
1790,920,110.9,Large,lawngreen
1782,814,99.1,Medium,blue
1839,646,84.4,Extra Small,yellow
1880,954,117.6,X-Large,green
1738,853,108.5,Large,lawngreen
1734,900,108.5,Large,lawngreen
1819,835,102.1,Large,lawngreen
1683,851,109.6,Large,lawngreen
1815,897,106.3,Large,lawngreen
1815,872,103.0,Large,lawngreen
1673,822,110.6,Large,lawngreen
1831,1112,116.3,X-Large,green
1795,987,108.9,Large,lawngreen
1845,1105,114.9,X-Large,green
1687,782,104.1,Large,lawngreen
1756,869,105.6,Large,lawngreen
1846,1413,135.8,XXX-Large,black
1657,789,102.5,Large,lawngreen
1632,690,100.0,Medium,blue
1735,792,102.6,Large,lawngreen
1726,699,98.9,Medium,blue
1877,1212,125.1,XX-Large,slategray
1887,878,103.0,Large,lawngreen
1765,706,97.0,Medium,blue
1793,822,103.5,Large,lawngreen
1849,992,107.6,Large,lawngreen
1811,760,103.8,Large,lawngreen
1739,988,111.3,Large,lawngreen
1668,759,101.1,Medium,blue
1788,898,102.4,Large,lawngreen
1746,782,99.7,Medium,blue
1750,831,105.7,Large,lawngreen
1810,996,108.2,Large,lawngreen
1710,742,100.2,Medium,blue
1847,968,113.2,X-Large,green
1811,916,112.3,X-Large,green
1780,1080,117.5,X-Large,green
1740,788,102.1,Large,lawngreen
1797,949,111.5,Large,lawngreen
1755,906,111.2,Large,lawngreen
1842,1069,116.5,X-Large,green
1656,874,105.6,Large,lawngreen
1776,879,104.8,Large,lawngreen
1859,1154,113.7,X-Large,green
1685,790,104.1,Large,lawngreen
1775,887,102.7,Large,lawngreen
1825,866,102.1,Large,lawngreen
1931,806,100.1,Medium,blue
1789,966,112.6,X-Large,green
1819,1099,122.5,X-Large,green
1782,771,107.0,Large,lawngreen
1721,951,110.2,Large,lawngreen
1910,1118,119.4,X-Large,green
1804,895,109.7,Large,lawngreen
1782,1060,120.8,X-Large,green
1777,951,111.6,Large,lawngreen
1665,721,99.5,Medium,blue
1803,872,109.2,Large,lawngreen
1879,978,107.9,Large,lawngreen
1733,974,117.9,X-Large,green
1835,958,108.4,Large,lawngreen
1792,1123,115.0,X-Large,green
1721,900,109.8,Large,lawngreen
1711,948,114.2,X-Large,green
1809,950,107.1,Large,lawngreen
1664,739,102.1,Large,lawngreen
1807,1036,124.1,XX-Large,slategray
1705,777,102.7,Large,lawngreen
1955,1080,116.7,X-Large,green
1730,840,108.2,Large,lawngreen
1774,964,113.9,X-Large,green
1724,707,94.7,Small,red
1705,705,94.8,Small,red
1838,851,105.8,Large,lawngreen
1706,865,110.2,Large,lawngreen
1809,972,117.9,X-Large,green
1773,822,102.8,Large,lawngreen
1734,842,104.8,Large,lawngreen
1748,723,96.9,Medium,blue
1651,896,112.5,X-Large,green
1724,755,104.9,Large,lawngreen
1860,732,95.7,Medium,blue
1715,701,91.3,Small,red
1757,783,99.5,Medium,blue
1916,1164,123.7,XX-Large,slategray
1847,799,101.8,Medium,blue
1855,908,105.9,Large,lawngreen
1718,677,90.7,Small,red
1641,858,106.3,Large,lawngreen
1833,852,101.7,Medium,blue
1784,1033,113.0,X-Large,green
1770,1034,115.6,X-Large,green
1702,725,97.8,Medium,blue
1800,711,96.3,Medium,blue
1715,678,96.5,Medium,blue
1842,782,95.6,Medium,blue
1710,909,108.0,Large,lawngreen
1753,840,107.8,Large,lawngreen
1935,1086,115.8,X-Large,green
1738,758,101.3,Medium,blue
1770,833,103.7,Large,lawngreen
1720,870,103.9,Large,lawngreen
1673,728,98.5,Medium,blue
1715,1109,128.5,XX-Large,slategray
1822,945,108.2,Large,lawngreen
1913,1141,115.7,X-Large,green
1756,907,104.9,Large,lawngreen
1735,846,106.3,Large,lawngreen
1726,818,106.1,Large,lawngreen
1716,869,112.0,X-Large,green
1717,682,91.3,Small,red
1718,680,94.1,Small,red
1747,947,115.1,X-Large,green
1567,474,81.0,2X-Small,pink
1894,1158,116.3,X-Large,green
1738,729,97.2,Medium,blue
1862,1078,109.1,Large,lawngreen
1654,540,84.6,Extra Small,yellow
1637,854,109.2,Large,lawngreen
1738,871,107.1,Large,lawngreen
1813,1071,117.2,X-Large,green
1738,791,103.5,Large,lawngreen
1815,1096,120.3,X-Large,green
1736,1150,121.2,X-Large,green
1689,866,104.7,Large,lawngreen
1740,756,97.7,Medium,blue
1782,834,101.4,Medium,blue
1784,812,104.1,Large,lawngreen
1647,845,108.2,Large,lawngreen
1740,941,116.6,X-Large,green
1664,644,96.7,Medium,blue
1805,1124,117.1,X-Large,green
1745,907,107.8,Large,lawngreen
1605,718,96.3,Medium,blue
1830,971,110.1,Large,lawngreen
1810,813,105.3,Large,lawngreen
1731,755,102.7,Large,lawngreen
1845,797,97.2,Medium,blue
1775,648,91.5,Small,red
1795,1079,114.2,X-Large,green
1664,874,108.1,Large,lawngreen
1752,982,110.8,Large,lawngreen
1814,893,106.9,Large,lawngreen
1836,1087,114.0,X-Large,green
1628,775,101.8,Medium,blue
1640,801,109.6,Large,lawngreen
1728,874,112.7,X-Large,green
1606,568,90.7,Small,red
1861,1174,124.1,XX-Large,slategray
1761,863,109.2,Large,lawngreen
1754,970,117.8,X-Large,green
1741,779,103.1,Large,lawngreen
1657,556,87.2,Extra Small,yellow
1660,533,88.4,Extra Small,yellow
1678,933,112.1,X-Large,green
1735,866,106.3,Large,lawngreen
1750,1096,124.2,XX-Large,slategray
1701,676,94.9,Small,red
1742,718,95.3,Medium,blue
1818,916,110.6,Large,lawngreen
1785,871,109.4,Large,lawngreen
1666,701,95.4,Medium,blue
1781,1115,124.2,XX-Large,slategray
1802,1084,116.6,X-Large,green
1669,637,90.4,Small,red
1837,964,107.1,Large,lawngreen
1881,1054,118.2,X-Large,green
1782,887,105.2,Large,lawngreen
1900,1145,116.2,X-Large,green
1755,890,106.9,Large,lawngreen
1730,688,95.7,Medium,blue
1624,710,102.0,Large,lawngreen
1755,1021,119.8,X-Large,green
1703,784,107.9,Large,lawngreen
1762,1105,117.2,X-Large,green
1720,819,100.8,Medium,blue
1711,871,116.8,X-Large,green
1927,869,102.7,Large,lawngreen
1784,775,106.8,Large,lawngreen
1835,1098,113.9,X-Large,green
1823,965,107.6,Large,lawngreen
1640,674,104.5,Large,lawngreen
1704,1026,123.1,XX-Large,slategray
1730,601,91.3,Small,red
1656,676,96.0,Medium,blue
1668,867,104.3,Large,lawngreen
1635,826,108.9,Large,lawngreen
1861,862,101.9,Medium,blue
1667,821,109.7,Large,lawngreen
1760,675,96.3,Medium,blue
1752,860,107.4,Large,lawngreen
1886,954,106.9,Large,lawngreen
1729,970,116.8,X-Large,green
1790,895,108.7,Large,lawngreen
1745,1016,117.3,X-Large,green
1677,758,100.2,Medium,blue
1725,715,102.2,Large,lawngreen
1748,884,107.6,Large,lawngreen
1610,459,82.0,2X-Small,pink
1705,756,103.0,Large,lawngreen
1833,995,113.1,X-Large,green
1820,1138,118.3,X-Large,green
1776,840,99.9,Medium,blue
1791,1114,111.5,Large,lawngreen
1970,902,107.2,Large,lawngreen
1814,924,106.3,Large,lawngreen
1782,860,109.9,Large,lawngreen
1717,842,104.3,Large,lawngreen
1860,939,111.3,Large,lawngreen
1763,921,112.1,X-Large,green
1624,724,101.5,Medium,blue
1723,886,101.1,Medium,blue
1674,753,105.8,Large,lawngreen
1744,857,103.4,Large,lawngreen
1748,980,113.8,X-Large,green
1805,744,93.7,Small,red
1775,680,95.3,Medium,blue
1730,677,97.6,Medium,blue
1740,735,100.8,Medium,blue
1752,649,89.3,Extra Small,yellow
1673,766,102.4,Large,lawngreen
1850,860,102.9,Large,lawngreen
1802,809,106.6,Large,lawngreen
1727,801,101.1,Medium,blue
1717,773,98.8,Medium,blue
1672,880,106.8,Large,lawngreen
1850,905,106.5,Large,lawngreen
1958,866,96.2,Medium,blue
1708,845,109.4,Large,lawngreen
1923,1203,122.8,X-Large,green
1684,769,97.9,Medium,blue
1762,995,109.4,Large,lawngreen
1869,1054,120.1,X-Large,green
1768,872,105.4,Large,lawngreen
1668,750,108.0,Large,lawngreen
1658,865,112.3,X-Large,green
1823,962,110.6,Large,lawngreen
1856,727,93.7,Small,red
1792,785,96.2,Medium,blue
1709,752,99.2,Medium,blue
1775,744,99.8,Medium,blue
1712,818,105.6,Large,lawngreen
1769,873,113.1,X-Large,green
1651,697,96.9,Medium,blue
1770,824,100.0,Medium,blue
1928,999,114.5,X-Large,green
1751,867,111.8,Large,lawngreen
1597,725,102.0,Large,lawngreen
1820,728,95.3,Medium,blue
1821,715,94.6,Small,red
1813,1274,132.4,XX-Large,slategray
1826,961,108.8,Large,lawngreen
1675,1018,120.0,X-Large,green
1722,869,112.4,X-Large,green
1718,840,106.7,Large,lawngreen
1726,834,105.3,Large,lawngreen
1767,733,99.9,Medium,blue
1701,735,98.7,Medium,blue
1744,766,99.8,Medium,blue
1680,858,102.7,Large,lawngreen
1581,560,91.5,Small,red
1731,754,104.3,Large,lawngreen
1825,941,110.5,Large,lawngreen
1635,920,120.9,X-Large,green
1736,905,109.8,Large,lawngreen
1692,1021,115.6,X-Large,green
1665,650,93.3,Small,red
1856,977,110.9,Large,lawngreen
1874,1130,120.2,X-Large,green
1672,894,112.1,X-Large,green
1807,763,99.0,Medium,blue
1892,1241,125.6,XX-Large,slategray
1795,876,104.2,Large,lawngreen
1798,689,92.5,Small,red
1721,736,92.9,Small,red
1687,759,102.6,Large,lawngreen
1745,702,99.6,Medium,blue
1836,1018,114.6,X-Large,green
1751,887,107.1,Large,lawngreen
1856,1266,121.9,X-Large,green
1702,842,109.9,Large,lawngreen
1717,699,99.8,Medium,blue
1759,713,95.7,Medium,blue
1789,1099,120.2,X-Large,green
1838,1042,116.4,X-Large,green
1639,633,92.2,Small,red
1674,921,109.6,Large,lawngreen
1745,955,113.7,X-Large,green
1662,709,99.4,Medium,blue
1674,773,101.6,Medium,blue
1688,781,100.5,Medium,blue
1744,1017,115.0,X-Large,green
1773,1028,112.4,X-Large,green
1835,910,109.3,Large,lawngreen
1736,787,101.8,Medium,blue
1668,781,102.0,Large,lawngreen
1791,931,113.8,X-Large,green
1816,793,101.2,Medium,blue
1781,812,102.3,Large,lawngreen
1759,621,91.1,Small,red
1673,758,103.7,Large,lawngreen
1734,745,100.6,Medium,blue
1640,819,109.2,Large,lawngreen
1663,714,97.2,Medium,blue
1646,865,109.5,Large,lawngreen
1810,1091,123.3,XX-Large,slategray
1701,780,103.3,Large,lawngreen
1850,942,107.8,Large,lawngreen
1764,832,107.1,Large,lawngreen
1863,838,102.9,Large,lawngreen
1764,987,114.5,X-Large,green
1811,958,113.2,X-Large,green
1795,962,103.5,Large,lawngreen
1583,545,87.2,Extra Small,yellow
1768,777,100.3,Medium,blue
1886,819,107.7,Large,lawngreen
1681,885,111.0,Large,lawngreen
1698,791,103.1,Large,lawngreen
1708,868,111.7,Large,lawngreen
1642,854,115.3,X-Large,green
1789,1008,109.7,Large,lawngreen
1664,807,107.8,Large,lawngreen
1880,1021,114.2,X-Large,green
1740,922,114.3,X-Large,green
1710,656,94.6,Small,red
1738,864,104.6,Large,lawngreen
1777,812,102.7,Large,lawngreen
1613,709,100.6,Medium,blue
1649,870,113.9,X-Large,green
1786,780,97.6,Medium,blue
1730,734,100.4,Medium,blue
