id,Name,Age,Class/Dept,Ticket,Joined,Job,Boat [Body]
0,"ABBOTT, Mrs Rhoda Mary 'Rosa'",39,3rd Class Passenger,CA2673£20 5s,Southampton,,A
1,"ABELSETH, Miss Kalle (Karen) Marie Kristiane",16,3rd Class Passenger,348125£7 13s,Southampton,,16*
2,"ABELSETH, Mr Olaus Jørgensen",25,3rd Class Passenger,348122£7 13s,Southampton,Farmer,A
3,"ABELSON, Mrs Anna",28,2nd Class Passenger,3381£24,Cherbourg,,
4,"ABĪ SA'B, Mrs Sha'nīnah",38,3rd Class Passenger,2688£7 4s 7d,Cherbourg,,
5,"ABĪ-AL-MUNÀ, Mr Nāsīf Qāsim",27,3rd Class Passenger,2699£18 15s 9d,Cherbourg,,
6,"ABRAHAMSSON, Mr August Abraham Johannes",19,3rd Class Passenger,3101284£7 18s 6d,Southampton,,15
7,"AKS, Mrs Leah",21,3rd Class Passenger,392091£9 7s,Southampton,,
8,"AKS, Master Philip",10m,3rd Class Passenger,392091£9 7s,Southampton,,
9,"AL-BA'QLĪNĪ, Mrs Laṭīfah",23,3rd Class Passenger,2666£19 5s 2d,Cherbourg,,
10,"AL-BA'QLĪNĪ, Miss Mārīyā",5,3rd Class Passenger,2666£19 5s 2d,Cherbourg,,
11,"AL-BA'QLĪNĪ, Miss Ūwjīnīyā",3,3rd Class Passenger,2666£19 5s 2d,Cherbourg,,
12,"AL-BA'QLĪNĪ, Miss Hilānah",2,3rd Class Passenger,2666£19 5s 2d,Cherbourg,,
13,"AL-ZA'INNĪ, Mr Fahīm Rūḥānā",25,3rd Class Passenger,2620£7 4s 6d,Cherbourg,General Labourer,6*
14,"ALLEN, Miss Elisabeth Walton",29,1st Class Passenger,24160£211 6s 9d,Southampton,,2
15,"ALLISON, Master Hudson Trevor",11m,1st Class Passenger,113781£151 16s,Southampton,,11
16,"ANDERSEN (JENSEN), Miss Carla Christine Nielsine",19,3rd Class Passenger,350046£7 17s 1d,Southampton,,16
17,"ANDERSON, Mr Harry",42,1st Class Passenger,19952£26 11s,Southampton,Stockbroker,3*
18,"ANDERSSON, Miss Erna Alexandra",16,3rd Class Passenger,3101281£7 18s 6d,Southampton,,
19,"ANDREWS, Miss Cornelia Theodosia",62,1st Class Passenger,13502£77 19s 2d,Cherbourg,,10
20,"ANGLE, Mrs Florence Agnes",36,2nd Class Passenger,226875£26,Southampton,,11*
21,"APPLETON, Mrs Charlotte",53,1st Class Passenger,11769£51 9s 7d,Southampton,,2
22,"ASPLUND, Master Edvin Rojj Felix",3,3rd Class Passenger,347077£31 7s 9d,Southampton,,10*
23,"ASPLUND, Mr Johan Charles",23,3rd Class Passenger,350054£7 15s 11d,Southampton,,13*
24,"ASPLUND, Mrs Selma Augusta Emilia",38,3rd Class Passenger,347077£31 7s 9d,Southampton,,10*
25,"ASPLUND, Miss Lillian Gertrud",5,3rd Class Passenger,347077£31 7s 9d,Southampton,,10*
26,"ASTOR, Mrs Madeleine Talmage",18,1st Class Passenger,17757£247 10s 6d,Cherbourg,,4
27,"AUBART, Mme. Léontine Pauline",24,1st Class Passenger,17477£69 6s,Cherbourg,Singer,9
28,"AYYŪB-DĀHIR, Miss Bannūrah",15,3rd Class Passenger,2687£7 4s 7d,Cherbourg,,
29,"BACKSTRÖM, Mrs Maria Mathilda",33,3rd Class Passenger,3101278£15 17s,Southampton,,
30,"BADMAN, Miss Emily Louisa",18,3rd Class Passenger,31416£8 1s,Southampton,Servant,C*
31,"BALLS, Mrs Ada Elizabeth",36,2nd Class Passenger,28551£13,Southampton,,10*
32,"BARBER, Miss Ellen Mary",26,1st Class PassengerServant,19877£78 17s,Southampton,Personal Maid,6
33,"BARKWORTH, Mr Algernon Henry",47,1st Class Passenger,27042£30,Southampton,Justice of the Peace,B
34,"BASSANI, Mrs Albina",31,1st Class PassengerServant,11813£76 5s 10d,Cherbourg,Personal Maid,8
35,"BAXTER, Mrs Hélène",50,1st Class Passenger,17558£247 10s 5d,Cherbourg,,6*
36,"BEANE, Mr Edward",32,2nd Class Passenger,2908£26,Southampton,,9*
37,"BEANE, Mrs Ethel Louisa",22,2nd Class Passenger,2908£26,Southampton,,9*
38,"BECKER, Mrs Nellie E.",35,2nd Class Passenger,230136£39,Southampton,,11
39,"BECKER, Miss Marion Louise",4,2nd Class Passenger,230136£39,Southampton,,11
40,"BECKER, Master Richard F.",1,2nd Class Passenger,230136£39,Southampton,,11
